CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15600000,Client_0,452,Spain,Female,56,8,0.0,2,1,1,162589.99,0
15600001,Client_1,785,France,Female,72,2,82058.16,1,0,0,179232.47,1
15600002,Client_2,698,Germany,Female,45,7,0.0,1,0,1,199278.07,1
15600003,Client_3,620,France,Male,35,2,85930.55,2,1,0,75380.39,0
15600004,Client_4,456,Germany,Female,58,10,0.0,2,0,1,116765.99,0
15600005,Client_5,421,Spain,Male,82,6,76316.93,4,1,1,173962.65,0
15600006,Client_6,538,Germany,Male,63,4,84970.79,3,1,1,97806.41,1
15600007,Client_7,370,Spain,Female,77,0,140070.22,2,0,1,72559.15,0
15600008,Client_8,452,Spain,Female,26,10,25781.71,1,1,0,19276.78,0
15600009,Client_9,471,Germany,Female,62,3,230515.57,1,1,1,84873.95,0
15600010,Client_10,816,Spain,Male,77,10,205099.96,2,1,1,24989.35,1
15600011,Client_11,564,Germany,Female,45,8,167625.96,2,0,1,78969.25,0
15600012,Client_12,680,Spain,Female,20,7,247031.25,2,0,0,75176.08,0
15600013,Client_13,808,France,Male,68,2,3999.84,2,0,1,132964.34,0
15600014,Client_14,437,France,Female,25,1,102765.08,2,0,1,79554.57,0
15600015,Client_15,722,Spain,Female,87,10,0.0,2,0,0,82992.43,1
15600016,Client_16,449,Spain,Male,76,8,108254.32,1,1,0,64406.63,0
15600017,Client_17,709,Germany,Male,78,0,1310.33,1,1,0,125516.47,0
15600018,Client_18,501,France,Male,75,8,39438.53,1,0,0,83976.53,0
15600019,Client_19,480,Germany,Male,87,6,0.0,2,0,1,190231.73,0
15600020,Client_20,499,Spain,Male,29,1,166986.97,1,1,1,179474.57,1
15600021,Client_21,658,Spain,Female,26,10,40663.57,2,0,0,55014.22,0
15600022,Client_22,607,Germany,Female,66,4,0.0,3,1,0,86754.73,0
15600023,Client_23,693,Spain,Male,34,1,3197.13,2,0,0,130570.69,0
15600024,Client_24,841,France,Female,71,4,0.0,1,0,1,13099.21,0
15600025,Client_25,763,Germany,Female,61,6,0.0,1,1,0,53208.26,1
15600026,Client_26,643,France,Male,49,4,149192.01,1,0,1,64155.66,1
15600027,Client_27,735,France,Male,52,1,110163.91,4,1,0,86455.42,0
15600028,Client_28,541,France,Male,66,10,40564.83,2,1,1,178969.33,0
15600029,Client_29,793,Germany,Female,71,4,0.0,1,1,1,28302.14,0
